Tool Type,Usage Count,Files Count,Example Files
AlteryxBasePluginsGui.AlteryxSelect.AlteryxSelect,455,23,"Audit_followup.yxmd, 07 01 Combine 2 spreadsheets.yxmd, All Data Cleanse and Calculate v 3.0.yxmd"
AlteryxBasePluginsGui.Filter.Filter,385,22,"Audit_followup.yxmd, All Data Cleanse and Calculate v 3.0.yxmd, Transformations test workflow.yxmd"
AlteryxBasePluginsGui.Formula.Formula,328,23,"Audit_followup.yxmd, All Data Cleanse and Calculate v 3.0.yxmd, Transformations test workflow.yxmd"
AlteryxBasePluginsGui.DbFileInput.DbFileInput,217,25,"Audit_followup.yxmd, 07 01 Combine 2 spreadsheets.yxmd, All Data Cleanse and Calculate v 3.0.yxmd"
AlteryxGuiToolkit.ToolContainer.ToolContainer,172,16,"Audit_followup.yxmd, All Data Cleanse and Calculate v 3.0.yxmd, NewAllData Union for TDE- V4.0.1.yxmd"
AlteryxBasePluginsGui.Union.Union,171,20,"Audit_followup.yxmd, 07 01 Combine 2 spreadsheets.yxmd, All Data Cleanse and Calculate v 3.0.yxmd"
AlteryxBasePluginsGui.BrowseV2.BrowseV2,167,20,"Audit_followup.yxmd, All Data Cleanse and Calculate v 3.0.yxmd, ONEASL API FOR MD SQI.yxmd"
AlteryxGuiToolkit.TextBox.TextBox,135,17,"Audit_followup.yxmd, 07 01 Combine 2 spreadsheets.yxmd, All Data Cleanse and Calculate v 3.0.yxmd"
Unknown,130,18,"Audit_followup.yxmd, All Data Cleanse and Calculate v 3.0.yxmd, Replica of JJV QSR Workflow.yxmd"
AlteryxBasePluginsGui.Unique.Unique,126,13,"Audit_followup.yxmd, All Data Cleanse and Calculate v 3.0.yxmd, QSR data refresh.yxmd"
AlteryxBasePluginsGui.Join.Join,113,19,"Audit_followup.yxmd, 07 01 Combine 2 spreadsheets.yxmd, All Data Cleanse and Calculate v 3.0.yxmd"
AlteryxBasePluginsGui.DbFileOutput.DbFileOutput,109,23,"Audit_followup.yxmd, 07 01 Combine 2 spreadsheets.yxmd, All Data Cleanse and Calculate v 3.0.yxmd"
AlteryxBasePluginsGui.FindReplace.FindReplace,108,12,"Audit_followup.yxmd, All Data Cleanse and Calculate v 3.0.yxmd, Audit_followup v5.0.yxmd"
AlteryxSpatialPluginsGui.Summarize.Summarize,54,11,"Audit_followup.yxmd, Replica of JJV QSR Workflow.yxmd, 04 Report opioid epidemic trends by year.yxmd"
AlteryxBasePluginsGui.TextInput.TextInput,36,11,"Audit_followup.yxmd, All Data Cleanse and Calculate v 3.0.yxmd, World_data_prep.yxmd"
AlteryxBasePluginsGui.TextToColumns.TextToColumns,28,8,"Audit_followup.yxmd, Audit_followup v5.0.yxmd, REGULATORY DATA WORKFLOW 3.0.4.yxmd"
AlteryxBasePluginsGui.Sort.Sort,26,11,"Audit_followup.yxmd, 07 01 Combine 2 spreadsheets.yxmd, World_data_prep.yxmd"
AlteryxBasePluginsGui.RecordID.RecordID,18,8,"All Data Cleanse and Calculate v 3.0.yxmd, World_data_prep.yxmd, All Data Cleanse and Calculate v 4.0.1.yxmd"
AlteryxBasePluginsGui.DateTime.DateTime,17,7,"All Data Cleanse and Calculate v 3.0.yxmd, NewAllData Union for TDE- V4.0.1.yxmd, All Data Cleanse and Calculate v 4.0.1.yxmd"
